;Day;Publisher;impressions;clicks;revenue;viewed_impressions;ctr;price_cpm;view_rate;number_ads;quality;volume;genre
1;01.06.2016;11555;11711924;656;4963,57;3309752;0,000056;0,42;0,283;14;non-premium;Large;General_interest
5;02.06.2016;11555;11973527;1081;21676,70;3145853;0,000090;1,81;0,263;14;non-premium;Large;General_interest
9;03.06.2016;11555;7248765;243;16742,83;1118706;0,000034;2,31;0,154;14;non-premium;Large;General_interest
13;04.06.2016;11555;6226217;715;15908,21;1771891;0,000115;2,56;0,285;14;non-premium;Large;General_interest
17;05.06.2016;11555;5349823;173;11559,51;807700;0,000032;2,16;0,151;14;non-premium;Large;General_interest
21;06.06.2016;11555;5936473;115;5547,39;866839;0,000019;0,93;0,146;14;non-premium;Large;General_interest
25;07.06.2016;11555;10090941;1038;16156,27;2754091;0,000103;1,60;0,273;14;non-premium;Large;General_interest
29;08.06.2016;11555;8570073;728;10026,73;2636280;0,000085;1,17;0,308;14;non-premium;Large;General_interest
33;09.06.2016;11555;5441420;268;14525,39;904935;0,000049;2,67;0,166;14;non-premium;Large;General_interest
37;10.06.2016;11555;4676646;169;8431,29;658166;0,000036;1,80;0,141;14;non-premium;Large;General_interest
41;11.06.2016;11555;5645347;501;12287,15;1424127;0,000089;2,18;0,252;14;non-premium;Large;General_interest
45;12.06.2016;11555;4382460;227;438,25;673330;0,000052;0,10;0,154;14;non-premium;Large;General_interest
49;13.06.2016;11555;7976947;799;16044,44;2219590;0,000100;2,01;0,278;14;non-premium;Large;General_interest
53;14.06.2016;11555;6825943;242;18596,34;1049390;0,000035;2,72;0,154;14;non-premium;Large;General_interest
57;15.06.2016;11555;4803227;102;14026,81;586515;0,000021;2,92;0,122;14;non-premium;Large;General_interest
61;16.06.2016;11555;4430616;111;7598,28;576471;0,000025;1,71;0,13;14;non-premium;Large;General_interest
65;17.06.2016;11555;4550240;97;14024,77;601106;0,000021;3,08;0,132;14;non-premium;Large;General_interest
69;18.06.2016;11555;4539405;481;6819,62;1147431;0,000106;1,50;0,253;14;non-premium;Large;General_interest
73;19.06.2016;11555;3296851;153;3597,73;466475;0,000046;1,09;0,141;14;non-premium;Large;General_interest
77;20.06.2016;11555;3687401;99;8120,34;518774;0,000027;2,20;0,141;14;non-premium;Large;General_interest
81;21.06.2016;11555;4117411;148;7694,03;575680;0,000036;1,87;0,14;14;non-premium;Large;General_interest
85;22.06.2016;11555;6918333;635;8885,08;1907163;0,000092;1,28;0,276;14;non-premium;Large;General_interest
89;23.06.2016;11555;4684608;195;5779,45;805420;0,000042;1,23;0,172;14;non-premium;Large;General_interest
93;24.06.2016;11555;5072406;124;14412,46;693544;0,000024;2,84;0,137;14;non-premium;Large;General_interest
97;25.06.2016;11555;4022681;145;12868,41;540145;0,000036;3,20;0,134;14;non-premium;Large;General_interest
101;26.06.2016;11555;4144657;121;9013,93;566800;0,000029;2,17;0,137;14;non-premium;Large;General_interest
105;27.06.2016;11555;5919407;168;14852,65;844932;0,000028;2,51;0,143;14;non-premium;Large;General_interest
109;28.06.2016;11555;5031944;100;9062,03;651603;0,000020;1,80;0,129;14;non-premium;Large;General_interest
