Date;3M;6M;1Y;2Y;3Y;4Y;5Y;6Y;7Y;8Y;9Y;10Y;15Y;20Y;30Y
11.12.2000;4,91491;4,90332;4,74611;4,65575;4,64359;4,65474;4,67264;4,75868;4,81739;4,84323;4,83299;4,85954;5,05866;5,31231;5,58972
12.12.2000;4,91491;4,90622;4,74963;4,65641;4,6453;4,65257;4,67391;4,76458;4,8291;4,85977;4,85315;4,88013;5,07307;5,32375;5,5981
13.12.2000;4,91395;4,90332;4,70384;4,59706;4,58216;4,58877;4,60987;4,701;4,76851;4,80935;4,80022;4,83391;5,023;5,27704;5,55546
14.12.2000;4,90139;4,87723;4,68483;4,52651;4,5504;4,55694;4,57871;4,67291;4,73771;4,78923;4,7809;4,81444;4,99204;5,22764;5,48557
15.12.2000;4,89752;4,87337;4,66248;4,50157;4,51175;4,50756;4,5284;4,62212;4,69189;4,74841;4,74071;4,77875;4,9554;5,19238;5,45185
18.12.2000;4,88206;4,85597;4,61884;4,47767;4,47037;4,46584;4,48716;4,58597;4,65824;4,72371;4,72434;4,75643;4,94766;5,19411;5,46294
19.12.2000;4,86564;4,84341;4,63933;4,51193;4,50418;4,50362;4,52899;4,6239;4,69454;4,76169;4,76198;4,79007;4,9987;5,25698;5,53795
20.12.2000;4,85501;4,82407;4,58284;4,44878;4,44132;4,45422;4,48937;4,59048;4,66482;4,73503;4,74441;4,75721;4,99586;5,28074;5,58982
21.12.2000;4,84244;4,8028;4,58007;4,43995;4,4513;4,47185;4,51261;4,61033;4,68247;4,74734;4,76217;4,77729;5,00774;5,27733;5,56935
22.12.2000;4,82988;4,797;4,55106;4,4282;4,44495;4,47062;4,51738;4,61359;4,68311;4,75011;4,76718;4,78127;5,00202;5,25857;5,53622
25.12.2000;4,82988;4,797;4,5393;4,42441;4,43331;4,44979;4,507;4,60707;4,67988;4,7452;4,76085;4,77716;4,99475;5,24988;5,5258
26.12.2000;4,82988;4,797;4,5398;4,42405;4,43619;4,44945;4,50702;4,60708;4,67568;4,74532;4,76208;4,77726;4,9975;5,25108;5,5249
27.12.2000;4,83084;4,79313;4,52262;4,38757;4,41269;4,43614;4,4915;4,59578;4,67201;4,74352;4,76339;4,77713;4,99345;5,23847;5,50268
28.12.2000;4,81054;4,78636;4,53592;4,40118;4,43707;4,46458;4,52327;4,62841;4,70769;4,78275;4,80697;4,8182;5,02646;5,26136;5,51449
29.12.2000;4,80667;4,7854;4,4959;4,33923;4,36991;4,39333;4,45311;4,56108;4,64848;4,72939;4,75807;4,76962;4,97316;5,20275;5,45007
01.01.2001;4,80667;4,7854;4,48582;4,33708;4,37004;4,38123;4,44254;4,56103;4,64566;4,72898;4,7574;4,76785;4,98178;5,20406;5,44204
02.01.2001;4,79603;4,74187;4,39172;4,23014;4,25642;4,28033;4,33337;4,44567;4,53204;4,62373;4,65638;4,6647;4,88986;5,12234;5,37103
03.01.2001;4,75928;4,68089;4,3901;4,24252;4,27084;4,29946;4,34597;4,44575;4,52802;4,61359;4,63455;4,63979;4,864;5,08414;5,31879
04.01.2001;4,69638;4,58984;4,31531;4,18923;4,24164;4,29241;4,3532;4,45504;4,53771;4,62518;4,65063;4,6536;4,89173;5,13196;5,38838
05.01.2001;4,65765;4,54429;4,24293;4,11348;4,17505;4,23198;4,29907;4,40545;4,50434;4,58773;4,61676;4,6239;4,87284;5,11603;5,37496
08.01.2001;4,64409;4,53653;4,24777;4,1232;4,18365;4,23772;4,30441;4,41012;4,51573;4,60189;4,6301;4,63788;4,88513;5,12154;5,37262
09.01.2001;4,66734;4,56949;4,32765;4,22272;4,27213;4,32158;4,38009;4,47179;4,57038;4,64591;4,66958;4,67473;4,9224;5,15751;5,40699
10.01.2001;4,72929;4,64313;4,41864;4,29737;4,34568;4,39109;4,44124;4,52455;4,611;4,67781;4,6965;4,70409;4,95486;5,19634;5,45271
11.01.2001;4,75057;4,66056;4,389;4,2735;4,31729;4,35914;4,40802;4,49645;4,58476;4,65102;4,67284;4,68091;4,93809;5,18618;5,4495
12.01.2001;4,75348;4,66734;4,44666;4,35911;4,39842;4,43087;4,48178;4,56779;4,65074;4,7098;4,73426;4,74101;4,99545;5,23679;5,49257
15.01.2001;4,76799;4,68283;4,44428;4,35509;4,38778;4,423;4,47464;4,5592;4,64382;4,70359;4,72825;4,74025;5,00035;5,23409;5,48067
16.01.2001;4,75444;4,65668;4,42682;4,34229;4,38493;4,42818;4,49103;4,57654;4,66321;4,7235;4,75451;4,76907;5,05095;5,28405;5,52846
17.01.2001;4,74864;4,66443;4,43923;4,37181;4,41568;4,42609;4,48346;4,56279;4,64574;4,70611;4,72954;4,74026;5,024;5,25009;5,48645
18.01.2001;4,73219;4,64409;4,3848;4,31317;4,36752;4,3882;4,4481;4,53334;4,62502;4,69501;4,71904;4,73508;5,03056;5,26314;5,50596
19.01.2001;4,71767;4,616;4,35691;4,29475;4,36221;4,3887;4,45957;4,55065;4,6493;4,72574;4,74965;4,7711;5,06227;5,2986;5,54583
22.01.2001;4,71187;4,60728;4,37923;4,32281;4,38402;4,4109;4,48625;4,57119;4,67339;4,74772;4,76906;4,79179;5,06908;5,29862;5,53885
23.01.2001;4,7109;4,60632;4,34556;4,29513;4,35528;4,38115;4,46007;4,545;4,64713;4,72397;4,74682;4,77473;5,04313;5,2731;5,51424
24.01.2001;4,72154;4,6286;4,42907;4,38351;4,43349;4,45049;4,52128;4,59597;4,68982;4,75497;4,77225;4,799;5,0519;5,27333;5,50577
25.01.2001;4,72251;4,64894;4,47279;4,43776;4,48077;4,49544;4,55476;4,616;4,69809;4,75217;4,76125;4,79483;5,02478;5,24704;5,48166
26.01.2001;4,73799;4,65087;4,47497;4,43081;4,47322;4,47995;4,53725;4,60398;4,68269;4,73356;4,7354;4,76847;5,01415;5,23685;5,47097
29.01.2001;4,73896;4,64991;4,44284;4,40369;4,44921;4,45808;4,52028;4,5896;4,66957;4,7256;4,72954;4,76827;5,00713;5,22445;5,4527
30.01.2001;4,73509;4,64313;4,37543;4,33434;4,38962;4,40442;4,47509;4,54879;4,63639;4,69787;4,70915;4,74741;4,99356;5,20171;5,41927
31.01.2001;4,69928;4,58694;4,33804;4,29169;4,3429;4,36456;4,43806;4,51593;4,6075;4,67094;4,68572;4,72613;4,98393;5,19553;5,4162
01.02.2001;4,67024;4,56562;4,36987;4,30668;4,35181;4,37149;4,43773;4,51399;4,60139;4,6632;4,67619;4,71749;4,98214;5,19489;5,4164
02.02.2001;4,67992;4,59953;4,39696;4,32258;4,36623;4,37967;4,44629;4,52076;4,60417;4,65729;4,66896;4,71329;4,96385;5,15469;5,3526
05.02.2001;4,68379;4,59566;4,36819;4,30142;4,34235;4,35125;4,42379;4,49838;4,5774;4,63642;4,64721;4,69727;4,942;5,13125;5,32753
06.02.2001;4,68089;4,59566;4,40002;4,32763;4,36168;4,37366;4,43909;4,50667;4,58516;4,64403;4,64938;4,70201;4,94595;5,12955;5,31958
07.02.2001;4,68283;4,60244;4,37725;4,30863;4,34235;4,3622;4,42094;4,48142;4,56693;4,62423;4,62757;4,68454;4,93312;5,1195;5,31231
08.02.2001;4,6867;4,60341;4,4314;4,3573;4,38826;4,41566;4,46704;4,52076;4,61143;4,66136;4,66315;4,72251;4,95958;5,14226;5,33153
09.02.2001;4,6896;4,616;4,40413;4,32289;4,35688;4,38403;4,43475;4,48827;4,58236;4,63433;4,63278;4,70072;4,93239;5,11903;5,31289
12.02.2001;4,6896;4,60244;4,39304;4,32542;4,35763;4,38686;4,43831;4,49056;4,58223;4,62577;4,61894;4,69366;4,92873;5,11961;5,31779
13.02.2001;4,68864;4,60341;4,38171;4,30611;4,33884;4,37322;4,42431;4,48269;4,57829;4,62655;4,62138;4,6921;4,9271;5,12978;5,34088
14.02.2001;4,69832;4,61213;4,41211;4,34211;4,36758;4,39717;4,42722;4,50261;4,60062;4,64971;4,63932;4,71344;4,94029;5,15372;5,37695
15.02.2001;4,70219;4,62375;4,47353;4,42692;4,44916;4,48232;4,5147;4,57246;4,66489;4,71203;4,69913;4,763;4,97526;5,18478;5,40436
16.02.2001;4,70703;4,63247;4,44019;4,38798;4,41358;4,45345;4,4892;4,54786;4,64152;4,69001;4,68584;4,74245;4,96219;5,17968;5,40755
19.02.2001;4,7138;4,6315;4,43088;4,37705;4,39812;4,43713;4,47065;4,53375;4,62836;4,67639;4,67163;4,72793;4,95318;5,17437;5,40577
20.02.2001;4,73316;4,64313;4,45138;4,39174;4,41866;4,45308;4,48586;4,54973;4,64457;4,69331;4,68713;4,74351;4,96354;5,18498;5,41679
21.02.2001;4,74283;4,65668;4,46783;4,40145;4,42659;4,46225;4,49363;4,56661;4,6629;4,71708;4,71522;4,76524;4,99124;5,21787;5,455
22.02.2001;4,75154;4,67992;4,49687;4,42044;4,44558;4,48267;4,51326;4,58271;4,67673;4,73314;4,74396;4,77524;5,00098;5,22345;5,45595
23.02.2001;4,76025;4,69057;4,46554;4,38352;4,41384;4,44785;4,48091;4,54953;4,64498;4,7049;4,71566;4,75386;4,9766;5,21003;5,45452
26.02.2001;4,76412;4,6683;4,45097;4,3644;4,39601;4,43459;4,46746;4,54106;4,64388;4,70822;4,72083;4,75878;4,98126;5,2138;5,45703
27.02.2001;4,76315;4,66249;4,36682;4,2802;4,31562;4,35476;4,39535;4,46497;4,56878;4,63727;4,65348;4,69181;4,92926;5,1747;5,43121
28.02.2001;4,72542;4,5976;4,36223;4,28002;4,31429;4,34854;4,38629;4,4584;4,56702;4,63532;4,65389;4,68892;4,93444;5,17362;5,42296
01.03.2001;4,7109;4,58791;4,37524;4,29474;4,3211;4,355;4,39253;4,45874;4,56408;4,62774;4,6446;4,68034;4,92842;5,1668;5,41507
02.03.2001;4,71574;4,60922;4,3764;4,29763;4,32049;4,35184;4,39574;4,45407;4,55501;4,61399;4,63205;4,66903;4,92241;5,16553;5,41864
05.03.2001;4,71574;4,61697;4,39968;4,32487;4,34281;4,37362;4,41459;4,47269;4,57565;4,63611;4,65706;4,69123;4,94588;5,1873;5,43821
06.03.2001;4,72542;4,62763;4,40177;4,31983;4,32891;4,3519;4,39292;4,45313;4,56356;4,62673;4,6511;4,68679;4,93392;5,17273;5,42104
07.03.2001;4,73025;4,62085;4,38447;4,30614;4,32046;4,34708;4,38072;4,45074;4,5687;4,63031;4,65656;4,68786;4,94196;5,18564;5,43883
08.03.2001;4,73219;4,61891;4,36461;4,27836;4,28696;4,31958;4,36241;4,42069;4,53145;4,59058;4,61411;4,64602;4,90355;5,14187;5,38904
09.03.2001;4,73606;4,61988;4,37942;4,29604;4,30725;4,33995;4,38329;4,43479;4,53537;4,59677;4,61948;4,65231;4,9002;5,12973;5,3677
12.03.2001;4,73799;4,62569;4,37225;4,29397;4,29916;4,33173;4,37709;4,42527;4,52349;4,58486;4,60875;4,64453;4,88943;5,12743;5,37437
13.03.2001;4,73703;4,61891;4,38038;4,30779;4,30786;4,34617;4,39346;4,44294;4,54231;4,60253;4,63435;4,67271;4,91772;5,15787;5,40704
14.03.2001;4,73799;4,6286;4,35814;4,20058;4,25393;4,29668;4,34033;4,39262;4,49679;4,55581;4,59275;4,63977;4,88626;5,14434;5,41264
