year,state,dtype,agegr,count,pop,age,legal,mrate
1970,1,all,18-20 yrs,292,189770,18.96999,0,153.87047
1971,1,all,18-20 yrs,316,195623,18.972181,0,161.5352
1972,1,all,18-20 yrs,320,200988,18.974701,0,159.21349
1973,1,all,18-20 yrs,291,206550,18.97023,0,140.88599
1974,1,all,18-20 yrs,306,213839,18.980139,0,143.09831
1975,1,all,18-20 yrs,326,220358,18.981335,.29399541,147.94107
1976,1,all,18-20 yrs,299,225486,18.9891,.66507012,132.60246
1977,1,all,18-20 yrs,332,227667,18.998507,.66846752,145.82703
1978,1,all,18-20 yrs,317,228472,18.995041,.66718459,138.74785
1979,1,all,18-20 yrs,309,228193,18.994711,.66809237,135.4117
1980,1,all,18-20 yrs,276,229794,19.002462,.67225862,120.10757
1981,1,all,18-20 yrs,242,228575,19.018663,.67920816,105.87334
1982,1,all,18-20 yrs,266,224838,19.015207,.67590886,118.3074
1983,1,all,18-20 yrs,283,220830,19.01705,.67963141,128.15288
1970,2,all,18-20 yrs,53,17798,19.147377,.2415109,297.78625
1971,2,all,18-20 yrs,47,18872,19.057652,.70008481,249.0462
1972,2,all,18-20 yrs,42,20860,19.068647,.7017737,201.34229
1973,2,all,18-20 yrs,51,22646,19.082354,.70670319,225.20534
1974,2,all,18-20 yrs,56,23430,19.086214,.70874947,239.00981
1975,2,all,18-20 yrs,60,25601,19.077536,.7029413,234.36584
1976,2,all,18-20 yrs,80,27064,19.079479,.70821017,295.59561
1977,2,all,18-20 yrs,70,26808,19.104408,.71833032,261.11609
1978,2,all,18-20 yrs,76,25774,19.113214,.72185147,294.87079
1979,2,all,18-20 yrs,65,19585,18.915854,.63992852,331.88666
1980,2,all,18-20 yrs,51,23291,19.044224,.69095361,218.9687
1981,2,all,18-20 yrs,49,24042,18.983736,.65934616,203.81
1982,2,all,18-20 yrs,56,25953,18.999075,.67741686,215.77467
1983,2,all,18-20 yrs,59,27808,19.051281,.69806993,212.16916
1970,4,all,18-20 yrs,178,96759,18.982018,0,183.96222
1971,4,all,18-20 yrs,218,105461,18.997042,0,206.71149
1972,4,all,18-20 yrs,220,113360,18.993376,.27738747,194.07198
1973,4,all,18-20 yrs,276,121437,18.99338,.66499501,227.27834
1974,4,all,18-20 yrs,277,128943,19.001745,.66773689,214.82361
1975,4,all,18-20 yrs,245,134398,18.993624,.66324645,182.29437
1976,4,all,18-20 yrs,235,139527,19.002207,.67162627,168.42618
1977,4,all,18-20 yrs,249,144142,19.020132,.67878205,172.74632
1978,4,all,18-20 yrs,278,147718,19.021717,.67937559,188.19643
1979,4,all,18-20 yrs,297,153888,19.019676,.67866242,192.9975
1980,4,all,18-20 yrs,248,159704,19.023581,.68303233,155.28728
1981,4,all,18-20 yrs,212,159406,19.032043,.684717,132.99374
1982,4,all,18-20 yrs,220,158750,19.024618,.68108976,138.58267
1983,4,all,18-20 yrs,197,158134,19.031719,.68719566,124.57789
1970,5,all,18-20 yrs,166,98829,18.949631,0,167.96689
1971,5,all,18-20 yrs,166,102027,18.975065,0,162.70203
1972,5,all,18-20 yrs,206,105761,18.973988,0,194.77879
1973,5,all,18-20 yrs,181,108007,18.961632,0,167.58173
1974,5,all,18-20 yrs,135,112858,18.979017,0,119.61935
1975,5,all,18-20 yrs,175,117492,18.97571,0,148.9463
1976,5,all,18-20 yrs,163,118556,18.981966,0,137.48776
1977,5,all,18-20 yrs,135,121047,18.992002,0,111.52692
1978,5,all,18-20 yrs,173,122197,18.990196,0,141.57468
1979,5,all,18-20 yrs,168,123179,18.989843,0,136.38689
1980,5,all,18-20 yrs,173,125804,18.991383,0,137.5155
1981,5,all,18-20 yrs,122,127239,18.997438,0,95.882553
1982,5,all,18-20 yrs,156,127345,19.000957,0,122.50186
1983,5,all,18-20 yrs,139,126123,19.02014,0,110.20988
1970,6,all,18-20 yrs,1661,1067922,19.005005,0,155.53571
1971,6,all,18-20 yrs,1615,1127057,18.996286,0,143.29355
1972,6,all,18-20 yrs,1748,1168339,19.001753,0,149.61411
1973,6,all,18-20 yrs,1688,1207953,19.017012,0,139.74054
1974,6,all,18-20 yrs,1631,1230473,19.017159,0,132.55066
1975,6,all,18-20 yrs,1641,1263879,19.008333,0,129.83838
1976,6,all,18-20 yrs,1641,1296096,19.015434,0,126.61099
1977,6,all,18-20 yrs,1801,1318737,19.030666,0,136.57007
1978,6,all,18-20 yrs,1806,1332480,19.029856,0,135.53674
1979,6,all,18-20 yrs,1893,1354455,19.021545,0,139.76102
1980,6,all,18-20 yrs,1892,1366049,19.025145,0,138.50162
1981,6,all,18-20 yrs,1656,1368730,19.031979,0,120.98807
1982,6,all,18-20 yrs,1486,1358902,19.034954,0,109.35299
1983,6,all,18-20 yrs,1369,1340831,19.049372,0,102.10086
1970,8,all,18-20 yrs,207,131830,18.999325,1,157.0204
1971,8,all,18-20 yrs,181,139867,19.003761,1,129.40865
1972,8,all,18-20 yrs,242,149614,19.006123,1,161.74957
1973,8,all,18-20 yrs,229,158029,19.014706,1,144.91011
1974,8,all,18-20 yrs,213,161336,19.015867,1,132.02261
1975,8,all,18-20 yrs,209,165031,19.006029,1,126.64288
1976,8,all,18-20 yrs,218,168889,19.013998,1,129.07886
1977,8,all,18-20 yrs,204,171776,19.024572,1,118.75932
1978,8,all,18-20 yrs,236,173784,19.024525,1,135.80077
1979,8,all,18-20 yrs,244,177454,19.018427,1,137.50043
1980,8,all,18-20 yrs,206,175322,19.028399,1,117.49809
