"ResponseId","treatment","product","money","age","gender","field","eda_session","fam_decoy","coffee_lemonade_freq","dog_cat"
"R_7397aWIvPifzehu","decoy","lemonade",3,19,"Other","No","Morning","Yes","Almost never.","Dog"
"R_7397aWIvPifzehu","decoy","coffee",6.5,19,"Other","No","Morning","Yes","Almost never.","Dog"
"R_2w3Wz9Zwuwuv1tf","control","lemonade",3,20,"Male","BBE","Morning","Yes","Two times a week.","Dog"
"R_2w3Wz9Zwuwuv1tf","control","coffee",3,20,"Male","BBE","Morning","Yes","Two times a week.","Dog"
"R_42suGbb6Z7lFVxH","control","lemonade",7,21,"Male","Business Administration","Morning","No","Three or more times a week.","Dog"
"R_42suGbb6Z7lFVxH","control","coffee",3,21,"Male","Business Administration","Morning","No","Three or more times a week.","Dog"
"R_3SBk2EnPL892Jix","decoy","lemonade",3,20,"Female","Business","Morning","No","Two times a week.","Dog"
"R_3SBk2EnPL892Jix","decoy","coffee",3,20,"Female","Business","Morning","No","Two times a week.","Dog"
"R_3CvCBRsVVGM448l","decoy","lemonade",3,21,"Male","Finance","Morning","Yes","Almost never.","Dog"
"R_3CvCBRsVVGM448l","decoy","coffee",3,21,"Male","Finance","Morning","Yes","Almost never.","Dog"
"R_6rC4NVueBivqxGO","control","lemonade",3,23,"Male","Business Administration","Morning","No","Almost never.","Dog"
"R_6rC4NVueBivqxGO","control","coffee",7,23,"Male","Business Administration","Morning","No","Almost never.","Dog"
"R_2715V8ioNVBZ3sB","decoy","lemonade",7,21,"Male","Economics","Morning","Yes","Once a week.","Dog"
"R_2715V8ioNVBZ3sB","decoy","coffee",3,21,"Male","Economics","Morning","Yes","Once a week.","Dog"
"R_6GvxNTfmwOlzlYt","control","lemonade",3,21,"Female","International business administration","Morning","No","Two times a week.","Dog"
"R_6GvxNTfmwOlzlYt","control","coffee",3,21,"Female","International business administration","Morning","No","Two times a week.","Dog"
"R_3DOcjUQconpfwja","decoy","lemonade",3,24,"Male","econ","Morning","No","Almost never.","Dog"
"R_3DOcjUQconpfwja","decoy","coffee",3,24,"Male","econ","Morning","No","Almost never.","Dog"
"R_2q2hk3LIQKiJtpk","decoy","lemonade",7,20,"Male","Business and Economics student","Morning","Yes","Almost never.","Cat"
"R_2q2hk3LIQKiJtpk","decoy","coffee",7,20,"Male","Business and Economics student","Morning","Yes","Almost never.","Cat"
"R_66t88rV6sLUJAMp","decoy","lemonade",3,20,"Male","Business amd economics","Morning","No","Almost never.","Dog"
"R_66t88rV6sLUJAMp","decoy","coffee",3,20,"Male","Business amd economics","Morning","No","Almost never.","Dog"
"R_3g2EPSH1Snjg2rv","decoy","lemonade",7,20,"Male","Economics","Morning","Yes","Almost never.","Dog"
"R_3g2EPSH1Snjg2rv","decoy","coffee",3,20,"Male","Economics","Morning","Yes","Almost never.","Dog"
"R_6GkpPjXUw230tpf","decoy","lemonade",3,22,"Male","Wiso","Morning","No","Almost never.","Cat"
"R_6GkpPjXUw230tpf","decoy","coffee",3,22,"Male","Wiso","Morning","No","Almost never.","Cat"
"R_2lzYvvlGCZA3Zt8","decoy","lemonade",7,25,"Male","Data Management","Morning","No","Almost never.","Dog"
"R_2lzYvvlGCZA3Zt8","decoy","coffee",7,25,"Male","Data Management","Morning","No","Almost never.","Dog"
"R_3THDd4H0EynjLWx","control","lemonade",7,21,"Female","business & economics","Morning","No","Almost never.","Dog"
"R_3THDd4H0EynjLWx","control","coffee",7,21,"Female","business & economics","Morning","No","Almost never.","Dog"
"R_37eSEKup8X0frfi","decoy","lemonade",7,20,"Female","Business Administration","Morning","No","Once a week.","Dog"
"R_37eSEKup8X0frfi","decoy","coffee",7,20,"Female","Business Administration","Morning","No","Once a week.","Dog"
"R_2ZUJYbkkeKL4w1U","decoy","lemonade",3,23,"Male","Winf","Morning","No","Almost never.","Dog"
"R_2ZUJYbkkeKL4w1U","decoy","coffee",3,23,"Male","Winf","Morning","No","Almost never.","Dog"
"R_6tkkliOPsDVAPf3","decoy","lemonade",7,23,"Male","Business informatics/software engineering","Morning","No","Almost never.","Dog"
"R_6tkkliOPsDVAPf3","decoy","coffee",6.5,23,"Male","Business informatics/software engineering","Morning","No","Almost never.","Dog"
"R_6dtRSpmn0XQ3muK","decoy","lemonade",7,21,"Male","BWL","Morning","No","Almost never.","Cat"
"R_6dtRSpmn0XQ3muK","decoy","coffee",3,21,"Male","BWL","Morning","No","Almost never.","Cat"
"R_2Cqg2NL2uK9Td73","decoy","lemonade",7,24,"Female","Innovation, decision sciences, international business","Morning","Yes","Once a week.","Dog"
"R_2Cqg2NL2uK9Td73","decoy","coffee",7,24,"Female","Innovation, decision sciences, international business","Morning","Yes","Once a week.","Dog"
"R_2vcZekK0Rb0hLLN","control","lemonade",3,22,"Male","Business Economics and Social Studies","Morning","No","Once a week.","Dog"
"R_2vcZekK0Rb0hLLN","control","coffee",3,22,"Male","Business Economics and Social Studies","Morning","No","Once a week.","Dog"
"R_3Ea7FTKuEUbBmUh","decoy","lemonade",3,22,"Male","Economics","Morning","No","Almost never.","Dog"
"R_3Ea7FTKuEUbBmUh","decoy","coffee",3,22,"Male","Economics","Morning","No","Almost never.","Dog"
"R_2f34j6ac0VFZARs","control","lemonade",3,20,"Other","Marketing","Afternoon","Yes","Two times a week.","Dog"
"R_2f34j6ac0VFZARs","control","coffee",3,20,"Other","Marketing","Afternoon","Yes","Two times a week.","Dog"
"R_3ty7BukG9Zr2b80","decoy","lemonade",3,21,"Female","BWL","Afternoon","No","Almost never.","Dog"
"R_3ty7BukG9Zr2b80","decoy","coffee",3,21,"Female","BWL","Afternoon","No","Almost never.","Dog"
"R_823GyC1wHyyTV9o","decoy","lemonade",6.5,20,"Female","Informatics","Afternoon","Yes","Once a week.","Dog"
