treatnr,blind,dsr,round,seller_quality_choice,buyer_cf_notpos,auction_price,matching_group_id
3,0,1,1,53,1,141,57
2,1,0,1,70,1,171,32
3,0,1,1,95,0,171,24
3,0,1,1,85,0,181,22
2,1,0,1,100,1,211,65
1,0,0,1,70,1,175,12
3,0,1,1,60,1,202,24
2,1,0,1,30,1,184,66
1,0,0,1,65,1,141,11
1,0,0,1,10,0,188,11
1,0,0,1,90,1,201,45
3,0,1,1,100,,121,22
2,1,0,1,99,0,274,34
1,0,0,1,67,,150,48
2,1,0,1,95,0,171,32
3,0,1,1,50,1,151,55
1,0,0,1,80,0,181,46
3,0,1,1,88,,190,56
1,0,0,1,85,,201,47
1,0,0,1,100,0,101,45
3,0,1,1,75,0,181,58
3,0,1,1,100,,151,58
1,0,0,1,70,0,152,13
3,0,1,1,99,,221,21
3,0,1,1,80,0,152,21
2,1,0,1,95,0,151,67
2,1,0,1,90,,201,33
2,1,0,1,51,1,101,33
1,0,0,1,85,,151,12
2,1,0,1,65,,111,65
2,1,0,1,90,1,138,68
2,1,0,1,90,0,223,31
3,0,1,1,85,0,181,56
1,0,0,1,100,0,181,14
2,1,0,1,85,1,251,34
1,0,0,1,70,1,171,46
3,0,1,1,95,0,121,55
2,1,0,1,100,,101,66
1,0,0,1,0,1,152,14
3,0,1,1,70,1,114,57
1,0,0,1,90,0,123,48
3,0,1,1,100,0,193,23
2,1,0,1,100,0,181,31
1,0,0,1,40,1,191,47
2,1,0,1,80,0,123,68
2,1,0,1,100,0,171,67
1,0,0,1,75,1,111,13
3,0,1,1,95,0,211,23
3,0,1,2,75,1,151,22
1,0,0,2,96,0,251,11
3,0,1,2,92,,191,58
1,0,0,2,50,1,121,46
1,0,0,2,100,0,211,45
2,1,0,2,70,1,191,65
2,1,0,2,87,1,201,68
2,1,0,2,50,1,181,31
3,0,1,2,100,1,101,23
3,0,1,2,90,1,136,24
2,1,0,2,90,0,131,66
3,0,1,2,70,1,111,57
3,0,1,2,70,1,171,55
2,1,0,2,90,1,192,65
1,0,0,2,90,,254,48
1,0,0,2,88,0,188,45
1,0,0,2,75,1,139,14
3,0,1,2,80,1,202,23
