StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q13,Q12,Q1,Q2 _1,Q3_1,Q4,Q5_1,Q6,Q7,Q8,TREATMENT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please briefly reflect on the following questions (all answers are completely private and will not be read):
In 5 years, I want my life to look like (just a few key words or sentences)...
One goal that matters most to me right now is... 
What’s one small thing I could do this week to get closer to that goal is...",Please Watch the Following Short Video:,Are you a dog person or a cat person?,How often do you think about your life goals?,I have a clear sense of what I want in life. - This statement applies to me:,Do you have clearly set goals for the next 5 years? - This statement applies to me:,Do you write down or track your goals?,I make decisions based on what I truly want and not what others expect of me. - This statement applies to me:,"How often do you engage with motivational content (e.g., podcasts, TED Talks, quotes, videos)?",How old are you?,What is your Gender?,TREATMENT
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""TREATMENT""}"
2025-04-23 13:40:59,2025-04-23 13:41:29,Survey Preview,,100,30,True,2025-04-23 13:41:30,R_6nZPWUTKKyHOLIJ,,,,,48.2169,16.4997,preview,EN,,,Dog Person,Daily,6,6,Yes,6,Monthly,20,Female,CONTROL
2025-04-23 13:41:37,2025-04-23 13:42:31,Survey Preview,,100,54,True,2025-04-23 13:42:32,R_6175MPcatDBscOE,,,,,48.2169,16.4997,preview,EN,,I watched the video,,Daily,7,6,Yes,7,Daily,0,Female,T2: VIDEO
2025-04-25 09:42:31,2025-04-25 09:44:24,Survey Preview,,100,113,True,2025-04-25 09:44:24,R_36Xe48mzgkvwDVT,,,,,48.1982,16.3917,preview,EN,mnm,,,Weekly,5,8,Yes,7,Daily,20,Female,T1:JOURNALING
2025-04-25 09:55:02,2025-04-25 09:55:47,IP Address,213.143.108.156,100,44,True,2025-04-25 09:55:47,R_1gtKZzOhl8lrG2y,,,,,48.1982,16.3917,anonymous,EN,,,Cat Person,Weekly,6,2,Yes,7,Daily,20,Female,CONTROL
2025-04-23 13:44:31,2025-04-23 13:44:41,IP Address,137.208.217.30,27,9,False,2025-04-30 13:44:44,R_8s4GUkbBYxmRjLa,,,,,48.2169,16.4997,anonymous,EN,,I watched the video,,,,,,,,,,T2: VIDEO
2025-04-30 15:45:45,2025-04-30 15:46:32,IP Address,137.208.216.108,100,46,True,2025-04-30 15:46:32,R_8OHJXLUQFrYcDGz,,,,,48.2169,16.4997,anonymous,EN,,I watched the video,,Daily,8,7,No,8,Weekly,20,Male,T2: VIDEO
2025-04-30 15:55:58,2025-04-30 15:57:07,IP Address,46.211.247.105,100,68,True,2025-04-30 15:57:08,R_2lhmvHNSLzfPBKx,,,,,48.4653,35.033,anonymous,EN,,,Cat Person,Weekly,7,6,No,10,Monthly,20,Female,CONTROL
2025-04-30 16:07:26,2025-04-30 16:10:17,IP Address,62.99.135.46,100,170,True,2025-04-30 16:10:17,R_2cjibj5QO36HTql,,,,,47.8044,16.2489,anonymous,EN,"In 5 years I want my life to look less stressful, successful, productive, and happy. One goal that matters most to me right now is finishing my degree and getting a good job. One thing I am doing this week is studying.",,,Daily,3,1,No,3,Never,20,Female,T1:JOURNALING
