"country" "points" "price" "province" "variety" "winery"
"France" 90 22 "France Other" "Sparkling Blend" "Bouvet-Ladubay"
"Italy" 90 29 "Tuscany" "Red Blend" "Castello di Monterinaldi"
"Italy" 90 39 "Tuscany" "Red Blend" "Rignana"
"France" 90 69 "Rhône Valley" "Syrah" "Tardieu-Laurent"
"Italy" 90 30 "Tuscany" "Red Blend" "Vignavecchia"
"France" 90 68 "Burgundy" "Chardonnay" "Chartron et Trébuchet"
"Italy" 90 60 "Tuscany" "Red Blend" "Fattoria di Magliano"
"France" 91 45 "Burgundy" "Chardonnay" "Domaine Chenevières"
"France" 91 38 "Burgundy" "Chardonnay" "Louis Max"
"France" 91 85 "Champagne" "Chardonnay" "Aubry"
"France" 91 45 "Burgundy" "Chardonnay" "Domaine Gérard Duplessis"
"France" 86 20 "Southwest France" "Rosé" "Château Clément Termes"
"Italy" 90 45 "Sicily & Sardinia" "White Blend" "Biondi"
"France" 90 18 "Languedoc-Roussillon" "Rosé" "Château de Lancyre"
"France" 90 15 "Bordeaux" "Rosé" "Château Suau"
"Italy" 89 25 "Tuscany" "Red Blend" "Tenuta degli Dei"
"Italy" 89 22 "Tuscany" "Red Blend" "Poggio Mandorlo"
"Italy" 89 57 "Tuscany" "Red Blend" "Cabreo"
"France" 92 94 "Burgundy" "Chardonnay" "Domaine Vincent Girardin"
"France" 91 60 "Burgundy" "Chardonnay" "Domaine de Bellene"
"France" 91 40 "Burgundy" "Chardonnay" "Domaine Sangouard-Guyot"
"Italy" 94 85 "Veneto" "Red Blend" "Speri"
"France" 94 20 "Provence" "Rosé" "Château Vignelaure"
"France" 94 100 "Provence" "Rosé" "Château d'Esclans"
"France" 91 54 "Champagne" "Chardonnay" "A.R. Lenoble "
"Italy" 90 32 "Tuscany" "Red Blend" "Cecchi"
"Italy" 87 17 "Tuscany" "Red Blend" "Ceralti"
"Italy" 86 15 "Veneto" "White Blend" "Latium di Morini"
"France" 86 10 "Southwest France" "White Blend" "Domaine de Lamothe"
"France" 89 19 "Southwest France" "Red Blend" "Domaine Rotier"
"France" 89 28 "Southwest France" "White Blend" "Domaine Rotier"
"Italy" 89 30 "Tuscany" "Red Blend" "Tenuta di Trecciano"
"Italy" 89 30 "Tuscany" "Red Blend" "Pratesi"
"France" 90 59 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 90 20 "Alsace" "White Blend" "Domaine Rieflé-Landmann"
"France" 94 25 "Southwest France" "Red Blend" "Vignobles Brumont"
"Italy" 91 41 "Northeastern Italy" "White Blend" "Franz Haas"
"France" 91 60 "Burgundy" "Chardonnay" "Domaine de Bellene"
"France" 90 13 "Southwest France" "Red Blend" "Domaine d'Arton"
"France" 90 45 "Burgundy" "Chardonnay" "Domaine Gérard Duplessis"
"Italy" 90 25 "Tuscany" "Red Blend" "Il Brunone"
"France" 90 24 "Rhône Valley" "Rosé" "Prieuré de Montézargues"
"France" 85 9 "Southwest France" "Rosé" "Château Bélingard"
"France" 85 16 "Southwest France" "Red Blend" "Château Clément Termes"
"France" 85 12 "Southwest France" "Rosé" "Georges Vigouroux"
"Italy" 89 23 "Tuscany" "Red Blend" "Nittardi"
"Italy" 89 28 "Tuscany" "Red Blend" "OT"
"Italy" 89 45 "Tuscany" "Red Blend" "San Fabiano Calcinaia"
"Italy" 89 90 "Tuscany" "Red Blend" "Castellare di Castellina"
"France" 89 20 "Southwest France" "White Blend" "Clos Troteligotte"
"Italy" 87 20 "Tuscany" "Red Blend" "I Greppi"
"France" 90 59 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 90 20 "Alsace" "White Blend" "Domaine Rieflé-Landmann"
"France" 90 45 "Burgundy" "Chardonnay" "Au Pied du Mont Chauve"
"France" 90 24 "Rhône Valley" "Rosé" "Prieuré de Montézargues"
"Italy" 90 25 "Tuscany" "Red Blend" "Il Brunone"
"Italy" 90 20 "Tuscany" "Red Blend" "Villa Mangiacane"
"Italy" 90 30 "Tuscany" "Red Blend" "Salcheto"
"Italy" 90 18 "Tuscany" "Red Blend" "Vignavecchia"
"Italy" 90 28 "Tuscany" "Red Blend" "Castello della Paneretta"
"Italy" 92 40 "Italy Other" "White Blend" "Frank Cornelissen"
"France" 93 50 "Provence" "Rosé" "Château Gassier"
"France" 93 34 "Provence" "Rosé" "Château Grand Boise"
"France" 93 30 "Provence" "Rosé" "Château les Valentines"
"France" 93 40 "Provence" "Rosé" "Château Roubine"
"Italy" 89 90 "Tuscany" "Red Blend" "Castellare di Castellina"
"France" 89 20 "Southwest France" "White Blend" "Clos Troteligotte"
"Italy" 89 27 "Lombardy" "Red Blend" "Nino Negri"
"Italy" 89 22 "Tuscany" "Red Blend" "Leopoldo I di Toscana"
"Italy" 89 52 "Tuscany" "Red Blend" "Rocca delle Macìe"
"Italy" 89 240 "Tuscany" "Red Blend" "Tenuta di Trinoro"
"Italy" 89 35 "Tuscany" "Red Blend" "Tenuta Sette Ponti"
"France" 85 9 "Southwest France" "White Blend" "Domaine du Touja"
"France" 85 16 "Southwest France" "Rosé" "Château Clément Termes"
"France" 85 15 "Southwest France" "Chardonnay" "Domaine de l'Herré"
"France" 85 12 "Burgundy" "White Blend" "Pierre Gruber"
"Italy" 91 30 "Tuscany" "Red Blend" "Campo di Sasso"
"Italy" 87 24 "Tuscany" "White Blend" "Giorgio Meletti Cavallari"
"Italy" 90 20 "Tuscany" "Red Blend" "Villa Mangiacane"
"Italy" 90 30 "Tuscany" "Red Blend" "Salcheto"
"Italy" 90 18 "Tuscany" "Red Blend" "Vignavecchia"
"France" 90 43 "Burgundy" "Chardonnay" "Au Pied du Mont Chauve"
"France" 93 52 "Provence" "Rosé" "Domaines Ott"
"France" 90 141 "Burgundy" "Chardonnay" "Jean-Luc and Paul Aegerter"
"France" 90 74 "Burgundy" "Chardonnay" "Jean-Luc and Paul Aegerter"
"Italy" 85 10 "Veneto" "White Blend" "Amatore"
"France" 85 9 "Southwest France" "White Blend" "Georges Vigouroux"
"Italy" 87 42 "Tuscany" "Red Blend" "Tenuta Sette Cieli"
